Date;Name;Type;Quantity;Price;Price Currency;Fees;Fees Currency;Shares;Amount;Amount Currency;Asset Class;Matched
26.07.18;iShares MSCI France ETF;Long buy;165.00;31.44;USD;--;USD;;;;ETFs;x
27.07.18;Amundi Index Solutions - Amundi CAC 40 UCITS ETF-C;Long sell;55.00;77.55;EUR;--;EUR;;;;ETFs;
30.07.18;L&G ROBO Global Robotics and Automation UCITS ETF;Long sell;205.00;13.85;EUR;--;EUR;;;;ETFs;
10.08.18;Apple Inc;Dividend;;;;--;;10.00;0.73;USD;Equities;x
24.08.18;Amphenol Corp;Long buy;13.00;81.57;EUR;--;EUR;;;;Equities;x
24.08.18;Alibaba Group Holding Ltd;Long buy;7.00;178.76;USD;--;USD;;;;Equities;x
28.08.18;Tencent Holdings Ltd;Long buy;38.00;39.67;EUR;--;EUR;;;;Equities;x
28.08.18;JD.com Inc;Long buy;37.00;28.40;EUR;--;EUR;;;;Equities;x
31.08.18;GW Pharmaceuticals PLC;Long buy;19.00;121.74;EUR;--;EUR;;;;Equities;x
31.08.18;Aurora Cannabis Inc;Long buy;173.00;May.82;EUR;--;EUR;;;;Equities;x
03.09.18;iAnthus Capital Holdings Inc;Long buy;410.00;Apr.90;EUR;--;EUR;;;;Equities;x
05.09.18;Global X Next Emerging & Frontier ETF;Long sell;150.00;20.16;USD;--;USD;;;;ETFs;x
05.09.18;CannTrust Holdings Inc;Long buy;270.00;Jul.29;EUR;--;EUR;;;;Equities;x
06.09.18;iShares MSCI All Peru ETF;Long sell;82.00;35.51;USD;--;USD;;;;ETFs;x
06.09.18;iShares MSCI Japan EUR Hedged UCITS ETF (Acc);Long sell;40.00;48.84;EUR;--;EUR;;;;ETFs;x
06.09.18;Global X MSCI Argentina ETF;Long sell;115.00;21.14;USD;--;USD;;;;ETFs;x
07.09.18;iAnthus Capital Holdings Inc;Long buy;400.00;May.15;EUR;--;EUR;;;;Equities;x
10.09.18;Newstrike Brands Ltd;Long sell;1,629.00;0.444;CAD;--;CAD;;;;Equities;x
11.09.18;Namaste Technologies Inc;Long buy;750.00;Feb.47;USD;--;USD;;;;Equities;x
13.09.18;iShares MSCI Korea UCITS ETF USD (Dist);Dividend;;;;--;;48.00;0.0489;EUR;ETFs;x
14.09.18;Amphenol Corp;Dividend;;;;--;;13.00;0.1978;EUR;Equities;x
14.09.18;iAnthus Capital Holdings Inc;Long buy;320.00;Apr.68;EUR;--;EUR;;;;Equities;x
18.09.18;Namaste Technologies Inc;Long buy;700.00;Feb.36;USD;--;USD;;;;Equities;x
20.09.18;Alcanna Inc;Long buy;400.00;Sep.50;CAD;--;CAD;;;;Equities;x
27.09.18;Alcanna Inc;Dividend;;;;--;;400.00;0.09;CAD;Equities;x
01.10.18;Namaste Technologies Inc;Long buy;340.00;02.Apr;USD;--;USD;;;;Equities;x
18.10.18;Shopify Inc;Long buy;17.00;119.39;EUR;--;EUR;;;;Equities;x
05.11.18;Global X Lithium & Battery Tech ETF;Long sell;62.00;31.37;USD;--;USD;;;;ETFs;x
06.11.18;KushCo Holdings Inc;Long buy;240.00;Jun.24;USD;--;USD;;;;Equities;x
08.11.18;Apple Inc;Dividend;;;;--;;10.00;0.73;USD;Equities;x
21.11.18;Medmen Enterprises Inc;Long buy;230.00;Mar.19;EUR;--;EUR;;;;Equities;x
14.12.18;Amphenol Corp;Dividend;;;;--;;13.00;0.2034;EUR;Equities;x
18.12.18;iShares MSCI Spain Capped ETF;Dividend;;;;--;;105.00;0.5196;USD;ETFs;x
18.12.18;iShares MSCI France ETF;Dividend;;;;--;;165.00;0.1226;USD;ETFs;x
24.12.18;BlueStar Israel Technology ETF;Dividend;;;;--;;214.00;0.0919;USD;ETFs;x
28.12.18;Global X Robotics & Artificial Intelligence ETF;Dividend;;;;--;;150.00;0.2415;USD;ETFs;x
09.01.19;Aurora Cannabis Inc;Long buy;350.00;Apr.42;EUR;--;EUR;;;;Equities;x
