Date,Name,Type,Quantity,Price,Price Currency,Fees,Fees Currency,Shares,Amount,Amount Currency,Asset Class
2019-01-16,Aurora Cannabis Inc,Long buy,230.00,6.30,EUR,--,EUR,,,,Equities
2019-01-21,Aurora Cannabis Inc,Long buy,165.00,5.70,EUR,--,EUR,,,,Equities
2019-02-08,Apple Inc,Dividend,,,,--,,10.00,0.73,USD,Equities
2019-02-12,BlueStar Israel Technology ETF,Long sell,65.00,34.68,USD,--,USD,,,,ETFs
2019-02-14,CannaRoyalty Corp,Long sell,324.00,6.11,EUR,--,EUR,,,,Equities
2019-02-19,Medipharm Labs Corp,Long buy,450.00,2.99,CAD,--,CAD,,,,Equities
2019-03-14,iShares MSCI Korea UCITS ETF USD (Dist),Dividend,,,,--,,48.00,0.4358,EUR,ETFs
2019-03-18,Amphenol Corp,Dividend,,,,--,,13.00,0.2028,EUR,Equities
2019-03-25,Aurora Cannabis Inc,Long sell,130.00,7.83,EUR,--,EUR,,,,Equities
2019-03-25,CannaRoyalty Corp,Long sell,140.00,6.94,EUR,--,EUR,,,,Equities
2019-03-25,iAnthus Capital Holdings Inc,Long sell,190.00,5.16,EUR,--,EUR,,,,Equities
2019-03-26,Auscann Group Holdings Ltd,Long buy,"6,000.00",0.270,EUR,--,EUR,,,,Equities
2019-04-16,Medipharm Labs Corp,Long buy,270.00,5.77,CAD,--,CAD,,,,Equities
2019-05-02,Medmen Enterprises Inc,Long buy,500.00,3.55,EUR,--,EUR,,,,Equities
2019-05-03,Aurora Cannabis Inc,Long sell,310.00,7.87,EUR,--,EUR,,,,Equities
